manager_id,xp_id,reg_stripsoverlap,latitude,longitude,elevation,slope,coarse_env,obstacles,stand_surface,geomem,levelling,fully_tarped,distance,strips_overlap,tarpfix_multimethod,tarpfix_pierced,stripfix_pierced,stripfix_taped,sedicover_height,trench_depth,plantation,repairs,add_control,followups,pb_fixation,pb_durability,reg_elsewhere,tarping_duration
43,48,1,44.684,2.845,995,1,0.22091901319763418,1,30,1,0,1,1,30,1,0,1,0,10,0,0,0,1,-0.061240618379897985,0,0,1,7
45,50,0,47.081,4.245,343,5,0.2860174527694597,0,400,0,1,1,1,10,1,1,1,0,0,30,1,1,1,1.1169361781986011,1,0,0,8
48,53,1,45.044,6.125,925,9,2.8047352938157224,4,30,1,0,0,1,5,1,0,0,0,0,15,0,1,1,1.1169361781986011,0,0,1,5
53,59,0,48.661,6.174,249,8,3.4739903764579663,6,300,1,0,0,1,100,0,0,1,0,0,0,0,0,1,0.7816795587304234,0,0,1,5
54,60,0,44.236,2.11,466,8,0.7782841100854392,2,55,1,0,1,0.5,100,0,0,0,0,0,20,0,1,1,0.9483521427765368,0,0,1,10
55,61,1,48.39,-4.486,51,4,0.5501975990698591,3,50,1,0,1,2,100,1,0,0,0,10,0,0,0,1,0.6130955233083588,0,0,1,5
57,63,0,48.47,-2.015,9,7,1.6719220132704025,3,2000,0,1,0,0,5,1,1,1,0,0,0,1,1,1,1.1169361781986011,0,0,1,1.5
62,68,1,48.558,-2.533,90,10,2.752938847343005,8,300,0,1,1,2,50,1,1,1,0,20,55,0,0,1,-0.061240618379897985,1,0,1,2
63,69,0,49.494,0.108,7,1,1.1966397285982615,0,600,0,1,1,1.5125,30,1,1,1,0,0,0,1,1,0,-0.2603629980138787,1,1,1,8
64,70,1,47.998,-4.098,8,6,2.2624329922934954,5,200,1,0,1,1,50,1,1,1,0,10,30,0,1,1,0.9483521427765368,0,0,1,10
65,71,0,45.718,4.809,163,8,0.4639154481940001,2,150,1,0,1,2,50,0,0,0,0,0,0,0,1,1,0.9483521427765368,1,0,0,5
66,72,0,49.193,0.722,58,5,-0.7537195282094549,3,150,0,1,1,0,35,0,0,0,1,0,0,0,0,0,-1.7757078654365062,0,0,0,2
68,74,0,49.05,7.427,300,10,0.3590102008198344,2,40,1,1,1,1,100,1,1,1,0,25,0,0,0,1,-0.2298246538019619,0,0,1,6
70,76,0,46.887,-71.516,196,2,0.20179078646733833,5,300,0,0,1,2,100,1,0,0,0,0,0,1,1,1,1.1169361781986011,0,0,1,3
71,77,1,45.084,-73.149,36,5,-0.31625464705565215,8,50,0,0,1,0.5,50,1,1,1,0,0,0,0,0,1,-0.3984086892240263,0,1,1,7
72,78,0,45.278,-72.168,212,7,1.4836714404631173,2,28,1,0,1,1,1,0,0,0,0,2,0,0,1,1,2.128440390730986,0,1,1,8
75,81,1,45.824,5.806,234,3,-0.16703598063806088,0,300,1,0,1,2,100,0,1,1,0,0,0,0,0,1,-0.3984086892240263,0,0,1,5
76,82,0,45.967,5.841,286,6,-0.9034639515151847,1,1000,0,0,1,1.5,50,1,1,1,0,0,0,1,0,1,0.10734341704216652,1,0,1,9
1,84,0,46.788,4.831,180,0,-2.260890233038414,0,12,0,1,1,3,30,1,0,0,1,10,40,0,0,0,-1.4385397945923775,0,0,0,4
1,85,0,46.787,4.833,179,0,-1.8369653448967374,7,7,0,1,0,2,20,1,0,0,1,10,40,0,0,0,-1.4385397945923775,0,0,1,4
1,86,1,46.786,4.833,179,0,-1.5880954759195913,6,17,0,1,1,3,25,1,0,0,1,10,40,0,0,0,-1.4385397945923775,0,0,1,4
1,87,0,46.786,4.833,179,1,-2.0858352138738834,1,45,0,1,1,2,20,1,0,0,1,10,40,0,0,0,-1.4385397945923775,0,0,0,4
1,91,0,46.785,4.836,179,1,-0.9822837016179019,4,38,0,1,1,1,20,1,0,0,1,10,40,0,0,0,-1.4385397945923775,0,0,1,4
1,93,0,46.632,4.881,196,2,-0.7096827215296592,9,205,0,1,0,2,50,1,0,0,1,15,40,0,0,1,-0.061240618379897985,1,0,1,4
1,94,0,46.788,4.831,180,0,-1.9827680778165884,1,32.5,0,1,0,0,50,1,0,0,1,10,10,0,0,0,-1.4385397945923775,0,0,1,3
1,94,0,46.788,4.831,180,0,-1.9827680778165884,1,32.5,0,1,0,0,100,1,0,0,0,10,10,0,0,0,-1.4385397945923775,0,0,1,3
1,94,0,46.788,4.831,180,0,-1.9827680778165884,1,32.5,0,1,0,0,10,1,0,0,0,10,10,0,0,0,-1.4385397945923775,0,0,1,3
1,95,0,46.786,4.833,182,7,0.3285228691968224,1,20,0,1,0,0,50,1,0,1,0,0,0,0,0,0,-1.607123830014442,0,1,1,3
1,95,0,46.786,4.833,182,7,0.3285228691968224,1,20,0,1,0,0,50,1,0,1,0,0,0,0,0,0,-1.607123830014442,0,0,1,3
1,95,0,46.786,4.833,182,7,0.3285228691968224,1,20,0,1,0,0,50,1,0,1,0,0,0,0,0,0,-1.607123830014442,0,0,1,3
1,96,0,46.784,4.837,179,0,-2.012020364061269,1,20,0,1,0,0,15,1,0,1,0,0,0,0,0,0,-1.607123830014442,0,0,1,3
1,96,0,46.784,4.837,179,0,-2.012020364061269,1,20,0,1,0,0,15,1,1,1,0,0,0,0,0,0,-1.607123830014442,0,0,1,3
1,96,0,46.784,4.837,179,0,-2.012020364061269,1,20,0,1,0,0,15,1,0,1,0,0,0,0,0,0,-1.607123830014442,0,0,1,3
1,96,0,46.784,4.837,179,0,-2.012020364061269,1,20,0,1,0,0,15,1,0,1,0,0,0,0,0,0,-1.607123830014442,0,0,1,3
78,E2,0,45.958,-66.646,26,8,1.5591895160022742,8,200,1,0,1,5,15,1,0,1,0,3,0,0,1,1,1.1169361781986011,0,1,1,3
79,E3,1,42.446,-71.225,67,8,-1.377070562449078,5,232,1,0,0,0,45,0,0,0,0,0,0,0,1,1,0.7797681073544728,1,1,1,4
80,E4,0,51.68,12.274,73,1,-1.3308047731546022,1,400,0,0,1,1.5,25,1,0,0,1,15,100,0,0,0,-1.4385397945923775,0,0,0,5
81,E5,0,51.671,-3.901,12,1,-0.7936792073965875,0,225,1,0,0,0,100,0,0,0,0,0,0,0,1,1,1.2855202136206652,0,1,1,3
82,E6,0,43.648,-71.499,163,2,-0.3578213629787839,1,74,1,0,1,3,15,0,0,0,0,10,0,0,1,1,0.7797681073544728,0,1,1,4.5
84,E8,1,45.399,-72.722,104,2,0.5125906434762432,8,6,1,0,1,2,40,1,0,0,1,10,30,0,0,1,-0.3984086892240263,0,0,0,5.5
85,E9,1,46.389,14.083,592,0,-2.521644963796416,0,350,0,0,1,1,20,1,0,0,0,1,0,0,1,1,2.6341924969971786,0,0,0,3
87,E11,0,52.08,5.128,3,2,1.0458982598272157,0,100,0,1,0,5,100,1,0,0,0,30,30,0,1,0,-0.5975310688580071,0,0,0,5
91,E15,0,43.627,-79.36,80,5,0.6184156272653244,9,3,1,1,1,0.3,12,1,0,0,0,0,90,0,1,1,3.1399446032633707,0,1,1,3
94,E18,1,43.641,-70.241,13,6,-0.6135711934466823,3,1800,1,0,1,0.65,60,1,0,0,0,8,0,1,1,1,3.1399446032633707,1,0,1,2
95,E19,0,51.507,-0.128,18,0,-0.534627702365128,0,120,0,1,1,1,30,1,0,0,0,30,100,0,0,0,-1.7757078654365062,0,0,0,3.5
96,E20,1,43.641,-70.241,22,2,1.5782215537420268,5,1021.9,0,0,0,0.35,30,0,0,0,0,10,0,0,1,1,1.2855202136206652,0,0,1,1
